period,CPIM.SE1041F,CPIM.SE2041F,CPIM.SE3041F,CPIM.SE5041F,CPIM.SE6041F,CPIM.SE9041F,CPIM.SE9041S
2013-09-01,0.01701642016410158,0.01973961388512624,0.011476254153808116,0.10260260706652491,0.024565407066454492,0.02143073215620535,0.02899732761497768
2013-10-01,0.017734417100827644,0.015008860948995117,0.012886270320768759,0.10201804223615,0.038023093278494034,0.02329551747640335,0.029501573861711112
2013-11-01,0.01899728123481818,0.016810892803750994,0.013953383000344877,0.09326653142074466,0.02977080916414095,0.02398314537672297,0.029716973825433257
2013-12-01,0.01895511383022197,0.017868423331485417,0.015683308340006974,0.08630606115858419,0.027298543432291583,0.02629256643588551,0.029921827758228936
2014-01-01,0.019686153290967123,0.017178258739178,0.019187064111907848,0.07832317977805459,0.02576723377896332,0.026143888632652972,0.029846007530796397
2014-02-01,0.02119055988734453,0.013313237324487748,0.022978239543952988,0.08241731222116074,0.02240767547531508,0.027440937571518553,0.030041896559894015
2014-03-01,0.025473468909048853,0.015890159732660985,0.018619041636368,0.07969397309229165,0.02706562086214522,0.026983298625991175,0.029958561779776256
2014-04-01,0.027305122016626493,0.022105221765707173,0.019220844657525864,0.07159721411440079,0.0276384503429777,0.028375002275032202,0.02959171564848395
2014-05-01,0.027051703213207674,0.02528211418561299,0.017182998951557876,0.07172323673546122,0.028835255152463102,0.027520064807601274,0.028959289677101447
2014-06-01,0.03218759360483525,0.02330759595894009,0.024423080040466043,0.059753465434495855,0.02943001808342956,0.030827654631656005,0.028610887791310786
2014-07-01,0.030601939749698086,0.02453707307568827,0.02648005692231159,0.05750726898764761,0.025332590357501978,0.03086323020683442,0.02855533767739904
2014-08-01,0.037436735071335527,0.027867762544358483,0.025562684901020056,0.057441399089160905,0.020176187263075167,0.03562551781275891,0.029056619332658167
2014-09-01,0.04393991777165499,0.028428653403205512,0.031655937145445234,0.05793694766777905,0.015016806550227932,0.040832289148927,0.029274524822392307
2014-10-01,0.04883589534315439,0.02891563242125798,0.02945714928487882,0.058560695842350574,0.013985119004170432,0.04200532339451035,0.029204036100587787
2014-11-01,0.04431160116541758,0.02465737183042312,0.0307287348576953,0.04788223258090585,0.03305487732181008,0.039019493979517726,0.029131770452063794
2014-12-01,0.043268178947331114,0.032839738214458215,0.02858300909751173,0.04598630262639425,0.02753463928575976,0.03396605045334692,0.028781150280160112
2015-01-01,0.04572832499793219,0.030851851370671406,0.03308749380750705,0.045924187738698,0.013631866549602467,0.03405138010879797,0.0289818140140492
2015-02-01,0.05151856455032607,0.02363564265571168,0.029611107865250785,0.04569751277006066,-0.004027364651295384,0.032844253901671706,0.02943341918736427
2015-03-01,0.053608271111619255,0.017261546167748554,0.031676165230159224,0.03652301466847763,0.008123129996618239,0.03758158507401096,0.030162851986267485
2015-04-01,0.05654878779745568,0.005843847682559633,0.02940935322326917,0.031028725817197955,0.02396873808045963,0.03835271578772385,0.030620586659972988
2015-05-01,0.056847830251726204,0.007488584524664869,0.03341107159414639,0.014207118901744939,0.03789673645006072,0.040213178516881554,0.031089939963727515
2015-06-01,0.05350186517114527,0.006147980825467599,0.03177972184883197,0.0040418471853180815,0.02601984465182598,0.035770100218105526,0.03155832434085052
2015-07-01,0.055210146156227546,0.009690327073266003,0.03598906285822179,-0.005183203629208766,0.022968703017328524,0.036613759929181,0.03230071006785303
2015-08-01,0.06176824863066662,0.016919688955509066,0.03822302932472432,-0.0188563414071888,0.022932456634717546,0.03866217670556157,0.032764074812708044
2015-09-01,0.06404791432993795,0.0224592322582103,0.03747127934937181,-0.02472580575396251,0.03326082148790784,0.03925092882280475,0.033226497256629774
2015-10-01,0.05835948076509608,0.03329481113733087,0.0350439101914178,-0.03423586827305195,0.03203685670108684,0.03635150391256784,0.03341301470933433
2015-11-01,0.052571000599913154,0.028224026729744296,0.036434321599537224,-0.02712532802750937,0.029122071896445556,0.03304736557780852,0.03333345931036402
2015-12-01,0.0468270654565901,0.020794854529655755,0.03944208083399162,-0.03459517640276444,0.011021564869764059,0.025608323435299285,0.03351757832288286
2016-01-01,0.04180299133293586,0.019156545852685225,0.03921974813589454,-0.03622965130873945,0.014446622788035953,0.022604026714956094,0.03369255645061683
2016-02-01,0.036993076547661076,0.028947576288506454,0.03866695653832686,-0.03381451568287016,0.017206453544896028,0.023546933119862112,0.03357962436127382
2016-03-01,0.035973234207343996,0.04146393421446685,0.0447397567747605,-0.02592985633216142,0.033690892288197105,0.030246099944160942,0.03346454795177308
2016-04-01,0.03748504588821714,0.042101384758964855,0.05477599533504551,-0.029515997821743818,0.038739264612948666,0.033805596891914126,0.03387892673164875
2016-05-01,0.037255667985816254,0.04023644535280849,0.060195449315486815,-0.045773016848861925,0.04734385089847093,0.032704484205488514,0.03431201288898015
2016-06-01,0.039448790126356194,0.03659279332456866,0.06023984667596127,-0.04397273513239419,0.05054634560357115,0.034539649106535876,0.034483670464265335
2016-07-01,0.039966900207730305,0.044437111379659555,0.053362866703609825,-0.04326980557007124,0.06780770868024073,0.03531937110732867,0.03439310956628757
2016-08-01,0.03600485745792711,0.04648404314830586,0.05673523791095506,-0.03414456026554469,0.0650334841803637,0.035705973519096545,0.03456231064917451
2016-09-01,0.03471353763373086,0.048918001182147876,0.05779334744114865,-0.04046169858220235,0.06046871223093545,0.034694979325681295,0.034731325305671655
2016-10-01,0.03600641857103656,0.040840103356350875,0.06391102290954764,-0.03334807862243372,0.06237562352635758,0.036832628592654126,0.034642155512117544
2016-11-01,0.04413975564765068,0.04828321292406068,0.056448802352535056,-0.023078437457353163,0.0512928204266303,0.040114083792947154,0.03456233431160668
2016-12-01,0.043741158064673304,0.04739838366638116,0.05031756698994797,-0.007141269445896696,0.04941077271507358,0.038633806313482344,0.034474119306940075
